lookback,enter,exit,min_hold,rebalance,trend_filter_ma,vol_target,vol_lookback,max_vol_scale,total_return_pct,sharpe,max_drawdown_pct,trades,final_equity
60,0.04,-0.02,10,5,0,0.0,20,1.0,40.03,0.976,-10.52,37,140034.79
60,0.05,-0.02,10,5,0,0.0,20,1.0,39.27,0.964,-10.52,37,139268.68
60,0.05,-0.02,5,5,0,0.0,20,1.0,37.85,0.946,-10.52,39,137853.17
60,0.04,-0.02,5,10,0,0.0,20,1.0,36.36,0.915,-9.9,33,136356.14
60,0.04,-0.02,10,10,0,0.0,20,1.0,36.36,0.915,-9.9,33,136356.14
60,0.05,-0.02,5,10,0,0.0,20,1.0,36.36,0.915,-9.9,33,136356.14
60,0.05,-0.02,10,10,0,0.0,20,1.0,36.36,0.915,-9.9,33,136356.14
60,0.04,-0.02,5,5,0,0.0,20,1.0,36.32,0.909,-10.52,41,136316.18
40,0.05,-0.02,5,10,0,0.0,20,1.0,27.11,0.679,-9.53,50,127114.38
40,0.05,-0.02,10,10,0,0.0,20,1.0,27.11,0.679,-9.53,50,127114.38
40,0.04,-0.02,10,5,0,0.0,20,1.0,25.27,0.668,-10.22,58,125265.6
40,0.05,-0.02,10,5,0,0.0,20,1.0,24.45,0.668,-9.53,52,124453.37
60,0.04,-0.02,10,5,200,0.0,20,1.0,22.88,0.851,-5.93,31,122884.44
60,0.05,-0.02,10,5,200,0.0,20,1.0,22.81,0.851,-5.97,31,122808.52
60,0.05,-0.02,5,5,200,0.0,20,1.0,22.34,0.837,-5.97,33,122344.95
40,0.05,-0.02,5,5,0,0.0,20,1.0,21.53,0.604,-9.57,56,121526.07
60,0.05,-0.02,5,10,200,0.0,20,1.0,21.25,0.776,-6.4,29,121252.03
60,0.05,-0.02,10,10,200,0.0,20,1.0,21.25,0.776,-6.4,29,121252.03
40,0.04,-0.02,5,5,0,0.0,20,1.0,21.24,0.604,-9.61,62,121242.55
60,0.04,-0.02,5,5,200,0.0,20,1.0,21.1,0.799,-5.92,35,121099.3
60,0.04,-0.02,5,10,200,0.0,20,1.0,20.83,0.765,-6.43,29,120832.41
60,0.04,-0.02,10,10,200,0.0,20,1.0,20.83,0.765,-6.43,29,120832.41
40,0.04,-0.02,5,10,0,0.0,20,1.0,20.33,0.546,-9.53,52,120334.01
40,0.04,-0.02,10,10,0,0.0,20,1.0,20.33,0.546,-9.53,52,120334.01
40,0.05,-0.02,10,5,200,0.0,20,1.0,15.3,0.595,-8.27,39,115296.36
40,0.05,-0.02,5,5,200,0.0,20,1.0,12.56,0.514,-9.16,43,112557.01
40,0.04,-0.02,5,10,200,0.0,20,1.0,12.52,0.457,-6.4,44,112520.34
40,0.04,-0.02,10,10,200,0.0,20,1.0,12.52,0.457,-6.4,44,112520.34
40,0.05,-0.02,5,10,200,0.0,20,1.0,12.48,0.479,-6.48,38,112478.28
40,0.05,-0.02,10,10,200,0.0,20,1.0,12.48,0.479,-6.48,38,112478.28
40,0.04,-0.02,5,5,200,0.0,20,1.0,12.0,0.496,-8.3,51,112004.22
40,0.04,-0.02,10,5,200,0.0,20,1.0,11.21,0.472,-8.79,47,111211.37
