lookback,enter,exit,min_hold,rebalance,total_return_pct,ann_return_pct,sharpe,max_drawdown_pct,trades,final_equity,buyhold_return_pct,outperformance_pct
40,0.04,-0.02,10,5,25.27,5.49,0.668,-10.22,58,125265.6,99.4490580770084,-74.18
20,0.02,-0.02,10,5,22.83,4.88,0.622,-10.05,83,122834.3,99.4490580770084,-76.62
20,0.02,-0.01,10,5,22.75,4.84,0.635,-9.96,89,122751.54,99.4490580770084,-76.7
40,0.04,-0.01,10,5,22.48,4.91,0.63,-9.95,62,122484.35,99.4490580770084,-76.97
40,0.02,-0.01,10,5,21.83,4.75,0.699,-8.32,67,121833.54,99.4490580770084,-77.62
40,0.02,-0.02,10,5,21.59,4.72,0.711,-8.9,63,121593.04,99.4490580770084,-77.86
20,0.02,-0.02,5,5,21.33,4.54,0.583,-10.05,93,121334.42,99.4490580770084,-78.12
40,0.04,-0.02,5,5,21.24,4.65,0.604,-9.61,62,121242.55,99.4490580770084,-78.21
20,0.04,-0.02,10,5,20.95,4.55,0.531,-12.01,73,120954.81,99.4490580770084,-78.5
20,0.03,-0.02,10,5,20.6,4.47,0.522,-11.96,75,120597.92,99.4490580770084,-78.85
20,0.02,-0.01,5,5,20.04,4.22,0.598,-11.18,109,120040.0,99.4490580770084,-79.41
20,0.03,-0.01,10,5,18.49,4.01,0.488,-10.92,83,118490.61,99.4490580770084,-80.96
40,0.03,-0.02,10,5,17.89,3.96,0.565,-9.74,63,117893.43,99.4490580770084,-81.56
40,0.03,-0.01,10,5,17.86,3.94,0.57,-8.72,67,117862.29,99.4490580770084,-81.59
40,0.02,-0.02,5,5,17.85,3.92,0.631,-9.75,71,117848.82,99.4490580770084,-81.6
20,0.04,-0.01,10,5,16.74,3.65,0.453,-11.82,83,116742.34,99.4490580770084,-82.71
40,0.03,-0.02,5,5,16.16,3.58,0.529,-10.03,67,116161.84,99.4490580770084,-83.29
20,0.03,-0.01,5,5,15.62,3.37,0.446,-12.02,99,115617.22,99.4490580770084,-83.83
20,0.04,-0.02,5,5,13.86,3.05,0.37,-12.77,83,113863.54,99.4490580770084,-85.59
20,0.03,-0.02,5,5,13.53,2.98,0.361,-12.77,85,113528.5,99.4490580770084,-85.92
20,0.04,-0.01,5,5,13.34,2.91,0.386,-13.31,95,113341.69,99.4490580770084,-86.11
40,0.02,-0.01,5,5,13.31,2.95,0.546,-8.24,79,113305.1,99.4490580770084,-86.14
40,0.04,-0.01,5,5,12.35,2.77,0.404,-9.2,70,112348.87,99.4490580770084,-87.1
40,0.03,-0.01,5,5,10.78,2.42,0.409,-8.3,75,110784.94,99.4490580770084,-88.67
